,Product,Query
163,Pyrigesic 1000 Tablet,"Vomitings, nausea, dizziness,fever"
301,Pyrigesic 650 Tablet,"Vomitings, nausea, dizziness,fever"
344,Zerodol-SP Tablet,Can Zerodol-SP Tablet cause nausea and vomiting?
345,Zerodol-SP Tablet,Can Zerodol-SP Tablet cause dizziness?
348,Zerodol-SP Tablet,Can the use of Zerodol-SP Tablet cause damage to kidneys?
380,Zerodol-P Tablet,Can the use of Zerodol-P Tablet cause nausea and vomiting?
381,Zerodol-P Tablet,Can the use of Zerodol-P Tablet cause dizziness?
385,Zerodol-P Tablet,Can the use of Zerodol-P Tablet cause damage to kidneys?
415,Sinarest New Tablet,Can the use of Sinarest New Tablet cause dizziness?
416,Sinarest New Tablet,Can the use of Sinarest New Tablet cause damage to liver?
444,Combiflam Tablet,Can the use of Combiflam Tablet cause nausea and vomiting?
445,Combiflam Tablet,Can the use of Combiflam Tablet cause dizziness?
448,Combiflam Tablet,Can the use of Combiflam Tablet cause damage to kidneys?
459,Cheston Cold Tablet,Can the use of Cheston Cold Tablet cause dizziness?
460,Cheston Cold Tablet,Can the use of Cheston Cold Tablet cause nausea and vomiting?
471,Flexon Tablet,Can the use of Flexon Tablet cause nausea and vomiting?
472,Flexon Tablet,Can the use of Flexon Tablet cause dizziness?
475,Flexon Tablet,Can the use of Flexon Tablet cause damage to kidneys?
487,Enzoflam Tablet,Can the use of Enzoflam Tablet cause nausea and vomiting?
488,Enzoflam Tablet,Can the use of Enzoflam Tablet cause dizziness?
492,Enzoflam Tablet,Can the use of Enzoflam Tablet cause damage to kidneys?
512,Pyrigesic Tablet,"Vomitings, nausea, dizziness,fever"
539,Brufen 400 Tablet,Can the use of Brufen 400 Tablet cause nausea and vomiting?
542,Brufen 400 Tablet,Can the use of Brufen 400 Tablet cause damage to kidneys?
544,Brufen 400 Tablet,Can Brufen 400 Tablet cause dizziness?
549,Brufen 400 Tablet,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
557,Brufen 200 Tablet,Can the use of Brufen 200 Tablet cause nausea and vomiting?
560,Brufen 200 Tablet,Can the use of Brufen 200 Tablet cause damage to kidneys?
562,Brufen 200 Tablet,Can Brufen 200 Tablet cause dizziness?
567,Brufen 200 Tablet,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
575,Brufen 600 Tablet,Can the use of Brufen 600 Tablet cause nausea and vomiting?
578,Brufen 600 Tablet,Can the use of Brufen 600 Tablet cause damage to kidneys?
580,Brufen 600 Tablet,Can Brufen 600 Tablet cause dizziness?
585,Brufen 600 Tablet,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
593,Brufen Junior 100mg/5ml Suspension,Can the use of Brufen Junior 100mg/5ml Suspension cause nausea and vomiting?
596,Brufen Junior 100mg/5ml Suspension,Can the use of Brufen Junior 100mg/5ml Suspension cause damage to kidneys?
598,Brufen Junior 100mg/5ml Suspension,Can Brufen Junior 100mg/5ml Suspension cause dizziness?
603,Brufen Junior 100mg/5ml Suspension,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
619,Brufen Softra 400mg Capsule,Can the use of Brufen Softra 400mg Capsule cause nausea and vomiting?
622,Brufen Softra 400mg Capsule,Can the use of Brufen Softra 400mg Capsule cause damage to kidneys?
624,Brufen Softra 400mg Capsule,Can Brufen Softra 400mg Capsule cause dizziness?
629,Brufen Softra 400mg Capsule,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
647,Rantac 150 Tablet,Throat problem last night and acidity in chest Which tablet i can use
694,Rantac Mps Oral Suspension Elaichi Sugar Free,Throat problem last night and acidity in chest Which tablet i can use
760,Rantac Mps LA Oral Suspension,Can the use of Rantac Mps LA Oral Suspension cause diarrhea?
761,Rantac Mps LA Oral Suspension,Can the use of Rantac Mps LA Oral Suspension cause constipation?
765,Rantac Mps LA Oral Suspension,Throat problem last night and acidity in chest Which tablet i can use
806,Rantac Mps Oral Suspension Elaichi Sugar Free,Throat problem last night and acidity in chest Which tablet i can use
905,Pantop 40 Tablet,Indigestion IBS reflux of food vomiting
1084,Pantop Injection,Indigestion IBS reflux of food vomiting
1119,Pantop-D SR Capsule,Indigestion IBS reflux of food vomiting
1153,Pantop-D Capsule,Indigestion IBS reflux of food vomiting
1249,Pantosec-D Tablet,Can the use of Pantosec-D Tablet cause diarrhea?
1284,Dompan Tablet,Can the use of Dompan Tablet cause diarrhea?
1309,Pantop 20 Tablet,Indigestion IBS reflux of food vomiting
1569,Pyrigesic 1000 Tablet,"Vomitings, nausea, dizziness,fever"
1707,Pyrigesic 650 Tablet,"Vomitings, nausea, dizziness,fever"
1750,Zerodol-SP Tablet,Can Zerodol-SP Tablet cause nausea and vomiting?
1751,Zerodol-SP Tablet,Can Zerodol-SP Tablet cause dizziness?
1754,Zerodol-SP Tablet,Can the use of Zerodol-SP Tablet cause damage to kidneys?
1786,Zerodol-P Tablet,Can the use of Zerodol-P Tablet cause nausea and vomiting?
1787,Zerodol-P Tablet,Can the use of Zerodol-P Tablet cause dizziness?
1791,Zerodol-P Tablet,Can the use of Zerodol-P Tablet cause damage to kidneys?
1821,Sinarest New Tablet,Can the use of Sinarest New Tablet cause dizziness?
1822,Sinarest New Tablet,Can the use of Sinarest New Tablet cause damage to liver?
1850,Combiflam Tablet,Can the use of Combiflam Tablet cause nausea and vomiting?
1851,Combiflam Tablet,Can the use of Combiflam Tablet cause dizziness?
1854,Combiflam Tablet,Can the use of Combiflam Tablet cause damage to kidneys?
1865,Cheston Cold Tablet,Can the use of Cheston Cold Tablet cause dizziness?
1866,Cheston Cold Tablet,Can the use of Cheston Cold Tablet cause nausea and vomiting?
1877,Flexon Tablet,Can the use of Flexon Tablet cause nausea and vomiting?
1878,Flexon Tablet,Can the use of Flexon Tablet cause dizziness?
1881,Flexon Tablet,Can the use of Flexon Tablet cause damage to kidneys?
1893,Enzoflam Tablet,Can the use of Enzoflam Tablet cause nausea and vomiting?
1894,Enzoflam Tablet,Can the use of Enzoflam Tablet cause dizziness?
1898,Enzoflam Tablet,Can the use of Enzoflam Tablet cause damage to kidneys?
1918,Pyrigesic Tablet,"Vomitings, nausea, dizziness,fever"
1945,Brufen 400 Tablet,Can the use of Brufen 400 Tablet cause nausea and vomiting?
1948,Brufen 400 Tablet,Can the use of Brufen 400 Tablet cause damage to kidneys?
1950,Brufen 400 Tablet,Can Brufen 400 Tablet cause dizziness?
1955,Brufen 400 Tablet,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
1963,Brufen 200 Tablet,Can the use of Brufen 200 Tablet cause nausea and vomiting?
1966,Brufen 200 Tablet,Can the use of Brufen 200 Tablet cause damage to kidneys?
1968,Brufen 200 Tablet,Can Brufen 200 Tablet cause dizziness?
1973,Brufen 200 Tablet,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
1981,Brufen 600 Tablet,Can the use of Brufen 600 Tablet cause nausea and vomiting?
1984,Brufen 600 Tablet,Can the use of Brufen 600 Tablet cause damage to kidneys?
1986,Brufen 600 Tablet,Can Brufen 600 Tablet cause dizziness?
1991,Brufen 600 Tablet,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
1999,Brufen Junior 100mg/5ml Suspension,Can the use of Brufen Junior 100mg/5ml Suspension cause nausea and vomiting?
2002,Brufen Junior 100mg/5ml Suspension,Can the use of Brufen Junior 100mg/5ml Suspension cause damage to kidneys?
2004,Brufen Junior 100mg/5ml Suspension,Can Brufen Junior 100mg/5ml Suspension cause dizziness?
2009,Brufen Junior 100mg/5ml Suspension,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
2025,Brufen Softra 400mg Capsule,Can the use of Brufen Softra 400mg Capsule cause nausea and vomiting?
2028,Brufen Softra 400mg Capsule,Can the use of Brufen Softra 400mg Capsule cause damage to kidneys?
2030,Brufen Softra 400mg Capsule,Can Brufen Softra 400mg Capsule cause dizziness?
2035,Brufen Softra 400mg Capsule,"my son has suddenly discharge water from ear with vomiting ,headache,fever. pl explane."
2053,Rantac 150 Tablet,Throat problem last night and acidity in chest Which tablet i can use
2100,Rantac Mps Oral Suspension Elaichi Sugar Free,Throat problem last night and acidity in chest Which tablet i can use
2166,Rantac Mps LA Oral Suspension,Can the use of Rantac Mps LA Oral Suspension cause diarrhea?
2167,Rantac Mps LA Oral Suspension,Can the use of Rantac Mps LA Oral Suspension cause constipation?
2171,Rantac Mps LA Oral Suspension,Throat problem last night and acidity in chest Which tablet i can use
2212,Rantac Mps Oral Suspension Elaichi Sugar Free,Throat problem last night and acidity in chest Which tablet i can use
2311,Pantop 40 Tablet,Indigestion IBS reflux of food vomiting
2490,Pantop Injection,Indigestion IBS reflux of food vomiting
2525,Pantop-D SR Capsule,Indigestion IBS reflux of food vomiting
2559,Pantop-D Capsule,Indigestion IBS reflux of food vomiting
2655,Pantosec-D Tablet,Can the use of Pantosec-D Tablet cause diarrhea?
2690,Dompan Tablet,Can the use of Dompan Tablet cause diarrhea?
2715,Pantop 20 Tablet,Indigestion IBS reflux of food vomiting
